image,label
ISIC_0000227,1
ISIC_0000228,1
ISIC_0000229,1
ISIC_0000230,1
ISIC_0000231,1
ISIC_0000232,1
ISIC_0000233,1
ISIC_0000234,1
ISIC_0000235,1
ISIC_0000236,1
ISIC_0000237,1
ISIC_0000239,1
ISIC_0000240,1
ISIC_0000242,1
ISIC_0000243,1
ISIC_0000244,1
ISIC_0000245,1
ISIC_0000246,1
ISIC_0000247,1
ISIC_0000249,1
ISIC_0000250,1
ISIC_0000251,1
ISIC_0000252,1
ISIC_0000253,1
ISIC_0000254,1
ISIC_0000255,1
ISIC_0000256,1
ISIC_0000258,1
ISIC_0000259,1
ISIC_0000260,1
ISIC_0000261,1
ISIC_0000262,1
ISIC_0000263,1
ISIC_0000264,1
ISIC_0000265,1
ISIC_0000268,1
ISIC_0000269,1
ISIC_0000271,1
ISIC_0000274,1
ISIC_0000275,1
ISIC_0000276,0
ISIC_0000277,0
ISIC_0000278,0
ISIC_0000279,0
ISIC_0000281,0
ISIC_0000282,0
ISIC_0000283,0
ISIC_0000285,0
ISIC_0000287,0
ISIC_0000288,0
ISIC_0000289,0
ISIC_0000290,0
ISIC_0000292,0
ISIC_0000293,0
ISIC_0000294,0
ISIC_0000295,0
ISIC_0000297,0
ISIC_0000298,0
ISIC_0000299,0
ISIC_0000300,0
ISIC_0000301,0
ISIC_0000302,0
ISIC_0000303,0
ISIC_0000306,0
ISIC_0000307,0
ISIC_0000310,0
ISIC_0000311,0
ISIC_0000313,0
ISIC_0000314,0
ISIC_0000315,1
ISIC_0000316,1
ISIC_0000317,1
ISIC_0000319,1
ISIC_0000320,1
ISIC_0000321,1
ISIC_0000322,1
ISIC_0000323,1
ISIC_0000324,1
ISIC_0000325,1
ISIC_0000326,1
ISIC_0000327,1
ISIC_0000328,1
ISIC_0000329,1
ISIC_0000330,1
ISIC_0000331,1
ISIC_0000332,1
ISIC_0000333,1
ISIC_0000336,1
ISIC_0000337,1
ISIC_0000338,1
ISIC_0000339,1
ISIC_0000340,1
ISIC_0000341,1
ISIC_0000342,1
ISIC_0000343,1
ISIC_0000344,1
ISIC_0000345,1
ISIC_0000346,1
ISIC_0000347,1
ISIC_0000348,1
ISIC_0000349,1
ISIC_0000350,1
ISIC_0000351,1
ISIC_0000352,1
ISIC_0000353,1
ISIC_0000354,1
ISIC_0000355,1
ISIC_0000357,1
ISIC_0000358,1
ISIC_0000359,1
ISIC_0000360,1
ISIC_0000361,1
ISIC_0000363,1
ISIC_0000364,1
ISIC_0000365,1
ISIC_0000366,1
ISIC_0000367,1
ISIC_0000368,1
ISIC_0000369,1
ISIC_0000370,1
ISIC_0000371,1
ISIC_0000372,1
ISIC_0000374,1
ISIC_0000376_downsampled,1
ISIC_0000377_downsampled,1
ISIC_0000378_downsampled,1
ISIC_0000379_downsampled,1
ISIC_0000380_downsampled,1
ISIC_0000381_downsampled,1
ISIC_0000382_downsampled,1
ISIC_0000383_downsampled,1
ISIC_0000384_downsampled,1
ISIC_0000385_downsampled,1
ISIC_0000386_downsampled,1
ISIC_0000387_downsampled,1
ISIC_0000388_downsampled,1
ISIC_0000390_downsampled,0
ISIC_0000391_downsampled,1
ISIC_0000392_downsampled,1
ISIC_0000393_downsampled,0
ISIC_0000395_downsampled,0
ISIC_0000396_downsampled,1
ISIC_0000397_downsampled,1
ISIC_0000403_downsampled,1
ISIC_0000407_downsampled,1
ISIC_0000408_downsampled,1
ISIC_0000409_downsampled,1
ISIC_0000410_downsampled,0
ISIC_0000412_downsampled,0
ISIC_0000413_downsampled,0
ISIC_0000415_downsampled,0
ISIC_0000416_downsampled,1
ISIC_0000418_downsampled,1
ISIC_0000419_downsampled,1
ISIC_0000420_downsampled,0
ISIC_0000421_downsampled,1
ISIC_0000423_downsampled,1
ISIC_0000425_downsampled,1
ISIC_0000426_downsampled,1
ISIC_0000427_downsampled,1
ISIC_0000431_downsampled,1
ISIC_0000433_downsampled,1
ISIC_0000434_downsampled,0
ISIC_0000436_downsampled,1
ISIC_0000439_downsampled,1
ISIC_0000442_downsampled,1
ISIC_0000443_downsampled,1
ISIC_0000444_downsampled,0
ISIC_0000445_downsampled,0
ISIC_0000447_downsampled,1
ISIC_0000448_downsampled,1
ISIC_0000449_downsampled,1
ISIC_0000451_downsampled,1
ISIC_0000452_downsampled,1
ISIC_0000453_downsampled,1
ISIC_0000455_downsampled,1
ISIC_0000456_downsampled,1
ISIC_0000457_downsampled,1
ISIC_0000458,1
ISIC_0000460,1
ISIC_0000461,1
ISIC_0000463_downsampled,0
ISIC_0000465,1
ISIC_0000466,0
ISIC_0000467,1
ISIC_0000468,1
ISIC_0000469,0
ISIC_0000470,1
ISIC_0000471,1
ISIC_0000473_downsampled,1
ISIC_0000474,1
ISIC_0000475,1
ISIC_0000476,1
ISIC_0000477,1
ISIC_0000478,1
ISIC_0000479,1
ISIC_0000480,1
ISIC_0000481,1
ISIC_0000482,0
ISIC_0000483,1
ISIC_0000484,0
ISIC_0000485,1
ISIC_0000486,1
ISIC_0000487,0
ISIC_0000488,1
ISIC_0000489,1
ISIC_0000490,1
ISIC_0000491,1
ISIC_0000492,1
ISIC_0000493,1
ISIC_0000494,1
ISIC_0000495,1
ISIC_0000496,1
ISIC_0000498,1
ISIC_0000499,1
ISIC_0000500,1
ISIC_0000501,1
ISIC_0000503,1
ISIC_0000504_downsampled,1
ISIC_0000505,1
ISIC_0000506,1
ISIC_0000507,1
ISIC_0000508,1
ISIC_0000509,1
ISIC_0000510,1
ISIC_0000511,0
ISIC_0000513,0
ISIC_0000514,1
ISIC_0000515,1
ISIC_0000516,0
ISIC_0000517,0
ISIC_0000518,0
ISIC_0000519_downsampled,0
ISIC_0000520_downsampled,0
ISIC_0000521_downsampled,0
ISIC_0000522,0
ISIC_0000523,1
ISIC_0000524,1
ISIC_0000525,1
ISIC_0000527,1
ISIC_0000528,1
ISIC_0000529_downsampled,1
ISIC_0000530,1
ISIC_0000531,0
ISIC_0000532,1
ISIC_0000533,0
ISIC_0000534,1
ISIC_0000535,1
ISIC_0000536,1
ISIC_0000537,1
ISIC_0000538,1
ISIC_0000539,1
ISIC_0000540,1
ISIC_0000541,1
ISIC_0000542,1
ISIC_0000543,1
ISIC_0000544,1
ISIC_0000545,1
ISIC_0000546,1
ISIC_0000547,0
ISIC_0000548,0
ISIC_0000549,0
ISIC_0000550,0
ISIC_0000551,0
ISIC_0000552,0
ISIC_0000554,0
ISIC_0000555,0
ISIC_0000556,1
ISIC_0000882_downsampled,1
ISIC_0000900_downsampled,1
ISIC_0000999_downsampled,1
ISIC_0001100_downsampled,0
ISIC_0001102_downsampled,0
ISIC_0001103_downsampled,0
ISIC_0001105_downsampled,0
ISIC_0001106_downsampled,0
ISIC_0001118_downsampled,0
ISIC_0001119_downsampled,0
ISIC_0001126_downsampled,0
ISIC_0001128_downsampled,0
ISIC_0001131_downsampled,0
ISIC_0001133_downsampled,0
ISIC_0001134_downsampled,0
ISIC_0001140_downsampled,0
ISIC_0001142_downsampled,0
ISIC_0001148_downsampled,0
ISIC_0001152_downsampled,0
ISIC_0001163_downsampled,1
ISIC_0001181_downsampled,1
ISIC_0001184_downsampled,1
ISIC_0001185_downsampled,1
ISIC_0001186_downsampled,1
ISIC_0001187_downsampled,1
ISIC_0001188_downsampled,1
ISIC_0001190_downsampled,1
ISIC_0001191_downsampled,1
ISIC_0001204_downsampled,1
ISIC_0001212_downsampled,1
ISIC_0001213_downsampled,1
ISIC_0001216_downsampled,1
ISIC_0001242_downsampled,1
ISIC_0001247_downsampled,1
ISIC_0001254_downsampled,1
ISIC_0001262_downsampled,1
ISIC_0001267_downsampled,1
ISIC_0001275_downsampled,1
ISIC_0001286_downsampled,1
ISIC_0001292_downsampled,1
ISIC_0001296_downsampled,1
ISIC_0001299_downsampled,1
ISIC_0001306_downsampled,1
ISIC_0001367_downsampled,1
ISIC_0001372_downsampled,1
ISIC_0001374_downsampled,1
ISIC_0001385_downsampled,1
ISIC_0001423_downsampled,1
ISIC_0001427_downsampled,1
ISIC_0001442_downsampled,1
ISIC_0001449_downsampled,1
ISIC_0001769_downsampled,1
ISIC_0001852_downsampled,1
ISIC_0001871_downsampled,1
ISIC_0001960_downsampled,1
ISIC_0002093_downsampled,1
ISIC_0002107_downsampled,1
ISIC_0002206_downsampled,1
ISIC_0002246_downsampled,1
ISIC_0002251_downsampled,1
ISIC_0002287_downsampled,1
ISIC_0002353_downsampled,1
ISIC_0002374_downsampled,1
ISIC_0002438_downsampled,1
ISIC_0002439_downsampled,1
ISIC_0002453_downsampled,1
ISIC_0002459_downsampled,1
ISIC_0002469_downsampled,1
ISIC_0002476_downsampled,1
ISIC_0002488_downsampled,1
ISIC_0002489_downsampled,1
ISIC_0002616_downsampled,1
ISIC_0002647_downsampled,1
ISIC_0002673_downsampled,1
ISIC_0002780_downsampled,1
ISIC_0002806_downsampled,1
ISIC_0002829_downsampled,1
ISIC_0002836_downsampled,1
ISIC_0002871_downsampled,1
ISIC_0002879_downsampled,1
ISIC_0002885_downsampled,1
ISIC_0002948_downsampled,1
ISIC_0002975_downsampled,1
ISIC_0002976_downsampled,1
ISIC_0003005_downsampled,1
ISIC_0003051_downsampled,1
ISIC_0003056_downsampled,1
ISIC_0003174_downsampled,1
ISIC_0003308_downsampled,1
ISIC_0003346_downsampled,1
ISIC_0003462_downsampled,1
ISIC_0003539_downsampled,1
ISIC_0003559_downsampled,1
ISIC_0003582_downsampled,1
ISIC_0003657_downsampled,1
ISIC_0003728_downsampled,1
ISIC_0003805_downsampled,1
ISIC_0004110_downsampled,1
ISIC_0004115_downsampled,1
ISIC_0004166_downsampled,1
ISIC_0004168_downsampled,1
ISIC_0004309_downsampled,1
ISIC_0004337_downsampled,1
ISIC_0004346_downsampled,1
ISIC_0004715_downsampled,1
ISIC_0004985_downsampled,1
ISIC_0005000_downsampled,1
ISIC_0005187_downsampled,1
ISIC_0005247_downsampled,1
ISIC_0005548_downsampled,1
ISIC_0005555_downsampled,1
ISIC_0005564_downsampled,1
ISIC_0005620_downsampled,1
ISIC_0005639_downsampled,1
ISIC_0005666_downsampled,1
ISIC_0005787_downsampled,1
ISIC_0006021_downsampled,1
ISIC_0006114_downsampled,1
ISIC_0006193_downsampled,1
ISIC_0006326_downsampled,1
ISIC_0006350_downsampled,1
ISIC_0006612_downsampled,1
ISIC_0006651_downsampled,1
ISIC_0006671_downsampled,1
ISIC_0006711_downsampled,1
ISIC_0006776_downsampled,1
ISIC_0006795_downsampled,1
ISIC_0006800_downsampled,1
ISIC_0006815_downsampled,1
ISIC_0006914_downsampled,1
ISIC_0006940_downsampled,1
ISIC_0006982_downsampled,1
ISIC_0007038_downsampled,1
ISIC_0007087_downsampled,1
ISIC_0007141_downsampled,1
ISIC_0007156_downsampled,1
ISIC_0007235_downsampled,1
ISIC_0007241_downsampled,1
ISIC_0007322_downsampled,1
ISIC_0007332_downsampled,1
ISIC_0007344_downsampled,1
ISIC_0007475_downsampled,1
ISIC_0007528_downsampled,1
ISIC_0007557_downsampled,1
ISIC_0007693_downsampled,1
ISIC_0007760_downsampled,1
ISIC_0007788_downsampled,1
ISIC_0007796_downsampled,1
ISIC_0008025_downsampled,1
ISIC_0008029_downsampled,1
ISIC_0008116_downsampled,1
ISIC_0008145_downsampled,1
ISIC_0008207_downsampled,1
ISIC_0008236_downsampled,1
ISIC_0008256_downsampled,1
ISIC_0008280_downsampled,1
ISIC_0008294_downsampled,1
ISIC_0008347_downsampled,1
ISIC_0008396_downsampled,1
ISIC_0008403_downsampled,1
ISIC_0008406_downsampled,1
ISIC_0008507_downsampled,1
ISIC_0008524_downsampled,1
ISIC_0008528_downsampled,1
ISIC_0008541_downsampled,1
ISIC_0008552_downsampled,1
ISIC_0008600_downsampled,1
ISIC_0008626_downsampled,1
ISIC_0008659_downsampled,1
ISIC_0008785_downsampled,1
ISIC_0008807_downsampled,1
ISIC_0008879_downsampled,1
ISIC_0008913_downsampled,1
ISIC_0008992_downsampled,1
ISIC_0008993_downsampled,1
ISIC_0008998_downsampled,1
ISIC_0009035_downsampled,1
ISIC_0009078_downsampled,1
ISIC_0009083_downsampled,1
ISIC_0009160_downsampled,1
ISIC_0009165_downsampled,1
ISIC_0009188_downsampled,1
ISIC_0009201_downsampled,1
ISIC_0009252_downsampled,1
ISIC_0009297_downsampled,1
ISIC_0009298_downsampled,1
ISIC_0009344_downsampled,1
ISIC_0009430_downsampled,1
ISIC_0009504_downsampled,1
ISIC_0009505_downsampled,1
ISIC_0009533_downsampled,1
ISIC_0009564_downsampled,1
ISIC_0009583_downsampled,1
ISIC_0009599_downsampled,1
ISIC_0009758_downsampled,1
ISIC_0009800_downsampled,1
ISIC_0009860_downsampled,1
ISIC_0009868,0
ISIC_0009869,1
ISIC_0009870,1
ISIC_0009871,1
ISIC_0009872,1
ISIC_0009873,1
ISIC_0009874,1
ISIC_0009875,1
ISIC_0009877,1
ISIC_0009879,1
ISIC_0009880,1
ISIC_0009881,1
ISIC_0009882,0
ISIC_0009883,1
ISIC_0009884,1
ISIC_0009885,1
ISIC_0009888,1
ISIC_0009889,1
ISIC_0009891,1
ISIC_0009895,1
ISIC_0009896,1
ISIC_0009897,0
ISIC_0009898,0
ISIC_0009899,1
ISIC_0009901,1
ISIC_0009902,1
ISIC_0009904,1
ISIC_0009905,0
ISIC_0009906,1
ISIC_0009909,1
ISIC_0009910,0
ISIC_0009911,1
ISIC_0009912,1
ISIC_0009914,1
ISIC_0009915,1
ISIC_0009917,1
ISIC_0009918,0
ISIC_0009919,1
ISIC_0009920,1
ISIC_0009921,1
ISIC_0009923,1
ISIC_0009925,1
ISIC_0009927,0
ISIC_0009928,1
ISIC_0009929,1
ISIC_0009930,1
ISIC_0009931,1
ISIC_0009932,1
ISIC_0009933,1
ISIC_0009934,0
ISIC_0009935,1
ISIC_0009936,1
ISIC_0009937,1
ISIC_0009938,1
ISIC_0009939,1
ISIC_0009940,1
ISIC_0009941,1
ISIC_0009942,1
ISIC_0009943,1
ISIC_0009944,1
ISIC_0009945,1
ISIC_0009946,1
ISIC_0009947,1
ISIC_0009948,1
ISIC_0009949,1
ISIC_0009950,0
ISIC_0009951,1
ISIC_0009953,1
ISIC_0009954,1
ISIC_0009955,0
ISIC_0009956,1
ISIC_0009958,1
ISIC_0009960,0
ISIC_0009961,1
ISIC_0009962,1
ISIC_0009963,1
ISIC_0009964,1
ISIC_0009965,1
ISIC_0009966,1
ISIC_0009967,1
ISIC_0009968,1
ISIC_0009969,1
ISIC_0009970,1
ISIC_0009971,0
ISIC_0009972,1
ISIC_0009973,1
ISIC_0009974,1
ISIC_0009975,1
ISIC_0009976,1
ISIC_0009977,1
ISIC_0009978,1
ISIC_0009979,1
ISIC_0009980,1
ISIC_0009981,1
ISIC_0009982,1
ISIC_0009987,1
ISIC_0009988,1
ISIC_0009990,1
ISIC_0009991,1
ISIC_0009992,0
ISIC_0009993,0
ISIC_0009994,1
ISIC_0009995,1
ISIC_0009998,1
ISIC_0010000,0
ISIC_0010002,1
ISIC_0010003,1
ISIC_0010005,1
ISIC_0010006,1
ISIC_0010009,1
ISIC_0010010,1
ISIC_0010011,0
ISIC_0010013,1
ISIC_0010014,1
ISIC_0010015,1
ISIC_0010016,0
ISIC_0010017,1
ISIC_0010018,1
ISIC_0010019,1
ISIC_0010020,1
ISIC_0010021,1
ISIC_0010022,1
ISIC_0010023,0
ISIC_0010024,0
ISIC_0010025,1
ISIC_0010028,1
ISIC_0010029,0
ISIC_0010032,1
ISIC_0010034,0
ISIC_0010036,0
ISIC_0010037,1
ISIC_0010038,1
ISIC_0010040,1
ISIC_0010041,1
ISIC_0010042,1
ISIC_0010043,1
ISIC_0010044,1
ISIC_0010046,1
ISIC_0010047,1
ISIC_0010051,1
ISIC_0010053,1
ISIC_0010054,0
ISIC_0010055,1
ISIC_0010056,0
ISIC_0010057,1
ISIC_0010058,1
ISIC_0010059,1
ISIC_0010060,1
ISIC_0010061,1
ISIC_0010062,1
ISIC_0010063,1
ISIC_0010064,1
ISIC_0010066,1
ISIC_0010067,0
ISIC_0010069,1
ISIC_0010070,1
ISIC_0010071,1
ISIC_0010073,1
ISIC_0010074,1
ISIC_0010075,1
ISIC_0010077,1
ISIC_0010078,1
ISIC_0010079,1
ISIC_0010080,0
ISIC_0010081,0
ISIC_0010086,1
ISIC_0010087,1
ISIC_0010088,1
ISIC_0010089,0
ISIC_0010090,1
ISIC_0010092,1
ISIC_0010093,1
ISIC_0010094,0
ISIC_0010100,1
ISIC_0010102,1
ISIC_0010104,1
ISIC_0010105,1
ISIC_0010168,1
ISIC_0010169,1
ISIC_0010170,1
ISIC_0010171,0
ISIC_0010173,1
ISIC_0010174,0
ISIC_0010175,0
ISIC_0010176,1
ISIC_0010177,1
ISIC_0010178,1
ISIC_0010180,1
ISIC_0010182,1
ISIC_0010183,1
ISIC_0010184,1
ISIC_0010185,1
ISIC_0010186,1
ISIC_0010187,1
ISIC_0010189,0
ISIC_0010190,1
ISIC_0010191,1
ISIC_0010192,1
ISIC_0010193,1
ISIC_0010194,0
ISIC_0010201,1
ISIC_0010202,1
ISIC_0010204,1
ISIC_0010205,1
ISIC_0010206,1
ISIC_0010207,0
ISIC_0010212,1
ISIC_0010213,1
ISIC_0010215,1
ISIC_0010216,1
ISIC_0010219,1
ISIC_0010220,1
ISIC_0010222,1
ISIC_0010225,0
ISIC_0010226,1
ISIC_0010227,1
ISIC_0010228,1
ISIC_0010229,1
ISIC_0010231,0
ISIC_0010232,1
ISIC_0010233,1
ISIC_0010234,1
ISIC_0010235,0
ISIC_0010236,1
ISIC_0010237,1
ISIC_0010238,1
ISIC_0010239,1
ISIC_0010240,0
ISIC_0010241,0
ISIC_0010244,1
ISIC_0010246,1
ISIC_0010247,1
ISIC_0010248,1
ISIC_0010249,1
ISIC_0010251,0
ISIC_0010252,1
ISIC_0010254,1
ISIC_0010255,1
ISIC_0010256,1
ISIC_0010257,1
ISIC_0010261,1
ISIC_0010262,1
ISIC_0010263,1
ISIC_0010264,1
ISIC_0010265,0
ISIC_0010267,0
ISIC_0010317,1
ISIC_0010318,1
ISIC_0010319,0
ISIC_0010320,1
ISIC_0010321,0
ISIC_0010322,0
ISIC_0010323,1
ISIC_0010326,1
ISIC_0010327,1
ISIC_0010329,0
ISIC_0010330,1
ISIC_0010332,1
ISIC_0010333,1
ISIC_0010334,1
ISIC_0010335,1
ISIC_0010336,1
ISIC_0010337,1
ISIC_0010339,1
ISIC_0010340,1
ISIC_0010341,1
ISIC_0010342,1
ISIC_0010344,1
ISIC_0010346,1
ISIC_0010347,1
ISIC_0010348,1
ISIC_0010349,0
ISIC_0010350,0
ISIC_0010351,1
ISIC_0010356,1
ISIC_0010357,1
ISIC_0010358,0
ISIC_0010360,0
ISIC_0010361,1
ISIC_0010362,1
ISIC_0010364,0
ISIC_0010365,1
ISIC_0010367,1
ISIC_0010368,1
ISIC_0010370,1
ISIC_0010371,1
ISIC_0010372,0
ISIC_0010374,1
ISIC_0010379,0
ISIC_0010380,0
ISIC_0010382,1
ISIC_0010435,1
ISIC_0010439,1
ISIC_0010440,1
ISIC_0010441,0
ISIC_0010442,1
ISIC_0010443,1
ISIC_0010444,1
ISIC_0010445,1
ISIC_0010447,1
ISIC_0010448,1
ISIC_0010449,1
ISIC_0010452,1
ISIC_0010455,1
ISIC_0010456,1
ISIC_0010457,1
ISIC_0010458,1
ISIC_0010459,1
ISIC_0010460,1
ISIC_0010461,1
ISIC_0010462,1
ISIC_0010463,1
ISIC_0010465,1
ISIC_0010466,0
ISIC_0010467,1
ISIC_0010468,0
ISIC_0010471,1
ISIC_0010472,1
ISIC_0010473,1
ISIC_0010474,1
ISIC_0010475,1
ISIC_0010476,0
ISIC_0010477,1
ISIC_0010479,1
ISIC_0010480,1
ISIC_0010481,1
ISIC_0010483,1
ISIC_0010487,1
ISIC_0010488,1
ISIC_0010490,1
ISIC_0010491,4
ISIC_0010492,1
ISIC_0010493,1
ISIC_0010494,1
ISIC_0010496,1
ISIC_0010497,1
ISIC_0010498,1
ISIC_0010552,1
ISIC_0010553,1
ISIC_0010554,1
ISIC_0010557,1
ISIC_0010558,1
ISIC_0010562,1
ISIC_0010565,1
ISIC_0010566,1
ISIC_0010567,1
ISIC_0010568,1
ISIC_0010569,1
ISIC_0010570,1
ISIC_0010571,1
ISIC_0010572,1
ISIC_0010573,1
ISIC_0010574,1
ISIC_0010575,1
ISIC_0010576,0
ISIC_0010581,1
ISIC_0010582,1
ISIC_0010584,1
ISIC_0010585,1
ISIC_0010586,1
ISIC_0010587,0
ISIC_0010588,1
ISIC_0010589,1
ISIC_0010590,1
ISIC_0010591,0
ISIC_0010592,1
ISIC_0010593,1
ISIC_0010595,1
ISIC_0010596,0
ISIC_0010597,0
ISIC_0010598,1
ISIC_0010599,1
ISIC_0010602,1
ISIC_0010603,1
ISIC_0010604,1
ISIC_0010605,1
ISIC_0010606,1
ISIC_0010607,1
ISIC_0010844,1
ISIC_0010846,1
ISIC_0010847,1
ISIC_0010848,1
ISIC_0010849,1
ISIC_0010850,1
ISIC_0010851,1
ISIC_0010852,0
ISIC_0010853,1
ISIC_0010854,1
ISIC_0010856,1
ISIC_0010857,1
ISIC_0010858,1
ISIC_0010860,0
ISIC_0010861,1
ISIC_0010862,0
ISIC_0010863,0
ISIC_0010864,1
ISIC_0011079,1
ISIC_0011081,1
ISIC_0011082,1
ISIC_0011083,1
ISIC_0011084,1
ISIC_0011085,1
ISIC_0011088,1
ISIC_0011089,1
ISIC_0011090,1
ISIC_0011092,1
ISIC_0011095,0
ISIC_0011097,1
